MoveId,CharacterId,Command,Hit level,Damage,Start up frame,Block frame,Hit frame,Counter hit frame,Notes
35,1,d/b or d+2 or FC+2,Sm (TC),6,12s cs4or1~,-4,7,7,
36,1,d/b or d+3 or FC+3 (Close),l (TC),10,15s cs6or1~,-11,-2,-2,
37,1,d/b or d+3 or FC+3,l (TC),7,15s cs6or1~,-11,-2,-2,
38,1,d/b or d+4 or FC+4,l (TC),20,17~18s cs6or1~,-27,KND,KND,
39,1,b+1,h,17,14~15,-14~-13,KND,KND,
40,1,b+2,m,21,23~24,-9~-8,+8~+9,KND,Homing
41,1,b+4,l,15,20~21,-13~-12,+1~+2,+1~+2,
42,1,"f, F+2",m,14,15(16~),-14,-2,-2,Wall bounce
43,1,"f, F+2:1","m, m","14,20",15(16~),-13~-12,KND,KND,
44,1,"f, F+4",m,23,20~21 (21~),0~+1,+2~+3s,KND,
45,1,"f, f, f+1",h,30,16~17 (19~),+1~+2,KND,KND,
46,1,"f, f, f+3",m (TJ),30,26~31 (29~) js6~,+3~+8,KND,KND,
47,1,WR+4,l (TJ),23,20~26 (53~),-24~-18,KND,KND,
48,1,WS+1,h,12,13,-5,6,6,
49,1,WS+2,m,17,15~16,-15~-14,Launch (JG?),Launch (JG?),
50,1,WS+3,m,17,13,-7,5,CS,
51,1,WS+4,m,10,11~12,-9~-8,+2~+3,+2~+3,
52,1,"WS+4, 4","m, m","10,20",11~12,-15~-14,-5~-4s,TUD,
53,1,Vertical jump 1,m (TJ),10,7(16~43) js1~,-25~+2,-15~+12,-15~+12,
54,1,Vertical jump 2,m (TJ),15,9(18~43) js1~,-18~+7,-8~+17,-8~+17,
55,1,Vertical jump 3,m (TJ),10,7(16~43) js1~,-25~+2,-15~+12,-15~+12,
56,1,Vertical jump 4,m (TJ),15,9(18~43) js1~,-18~+7,-8~+17,-8~+17,
57,1,Forward jump 1 Backward jump 1,m (TJ),10,9(14~40) js1~,-23~+4,-13~+14,-13~+14,
58,1,Forward jump 2 Backward jump 2,m (TJ),15,9(14~40) js1~,-18~+9,-8~+19,-8~+19,
59,1,Forward jump 3 Backward jump 3,m (TJ),10,7(12~40) js1~,-26~+2,-16~+12,-16~+12,
60,1,Forward jump 4 Backward jump 4,m (TJ),15,7(13~40) js1~,-20~+9,-10~+19,-10~+19,
61,1,Forward jump Top of jump d+3,m (TJ),14,13~ (34?~) js1~,-6~+1,+9s~+16s,+9s~+16s,
62,1,qcf+1 or qcf+2,Sm,14,19~,-13~,-5~,-5~,
63,1,"qcf+1, 1+2f, f",Sm,14,19~,+7?~,+15~,+15~,
64,1,hcb+1,Sm,15,28~,-9~,-1,-1,
65,1,hcb+2,Sm x 3,"9,9,9","33~,41,49",-1~,KND,KND,
66,1,"f, d, d/f+1",Sm,15,10a cs6~,-26,Launch (JG?),Launch (JG?),
67,1,"f, d, d/f+1, 1+2f, f",Sm,15,10a cs6~,1,Launch (JG?),Launch (JG?),
68,1,"f, d, d/f+2",Sm x 3,"6,6,20","11,23,35a cs6~7",-34 (~16?a),Launch (JG?),Launch (JG?),
69,1,"f, d, d/f+2, 1+2f, f (Only first hit)",Sm,6,11a cs6~7,0~,14,,
70,1,"f, d, d/f+2, 1+2f, f (Only two first hits)",Sm x 2,"6,6","11,23a cs6~7",+?,Launch (JG?),Launch (JG?),
71,1,"f, d, d/f+3(or 4)",(Special) (TJ)(DFLIP),,"11,23 6~7",,,,
72,1,DFLIP n,l,23,4~10 (51~),-24~-18,KND,KND,
73,1,DFLIP 1,h,15,7~ (34~46) js1~,-4~+7,KND,KND,
74,1,DFLIP 2,m,20,16~20 (52~55) js1~,-9~-5s,KND,KND,
75,1,DFLIP 3,m,21,14~ (41~52) js1~,-10~+1,+24k,KND,"Tail spin, Homing"
76,1,DFLIP 4,Sm,15,12~ (44~52) js1~,+4~+7g,+16~+19s,+16~+19s,
77,1,DFLIP 1+3 or 2+4,h(Throw),30,(32~),,Throw(KND),,
78,1,qcb+3,h (TJ),10,15 js9~,-15,KND,KND,Tail spin
79,1,qcb+4,"Sm (TJ), h x 3","13,6,6,6","10,25,44,54a js13~",-14,KND,KND,
80,1,Jump qcf+1 or 2,Sm,10,18(~) js1~,-21~,-11~,-11~,
81,1,Jump qcb+3 or 4,Sm,10,13(~) js1~,-9~+2,KND,KND,
82,1,"f, d, d/f+3+4 or b, d, d/b+3+4",(Special),,5inv,,,,
83,1,qcf+1+2,"Sm, Sm","10,10",19~,+1~,KND,KND,
84,1,hcb+1+2,Sm x 3,"12,12,12","28~,36,44",+9~,KND,KND,
85,1,"f, d, d/f+1+2",Sm x 3,"6,6,23","11,23,35a",-34,Launch (JG?),Launch (JG?),
86,1,"f, d, d/f+1+2 (On counter)","Sm, (throw)","7,8,9,9,9","11,,,",,,Throw(Launch),
87,1,qcb+3+4,Sm x 4,"6,6,6,20","10,24,39,44 js10~",-22,KND,KND,Tail spin
88,1,Jump qcf+1+2,"Sm, Sm","10,10","10,23 js1~",+3~,+7~,+7~,
89,1,Jump qcb+3+4,Sm,10,13~ js1~,-4~+9,KND,KND,
90,1,TPORT(f+3+4) qcf+1+2,"m (TJ), Sm x 2(TPORT)","20,10,10",js1~,-5~-1,+5~+9,+5~+9,
91,1,TPORT(f+3+4) qcb+3+4,"m (TJ), Sm x 3(TPORT)","20,6,6,20",js1~,-15,KND,KND,
92,1,TPORT(f+3+4) qcb+3+4 (Third hit miss),"m (TJ), Sm x 2(TPORT)","20,6,6",js1~,-25,KND,KND,
93,1,TPORT(f+3+4) qcb+3+4 (second and third hit miss),"m (TJ), Sm(TPORT)","20,6",1~,-35,KND,KND,
94,1,"qcf, qcf+1+2",Sm x 5,58(20*5),"10~,,,,",+2~,KND,KND,
95,1,b+3,h,14,15,-8,3,3,
96,1,f+1,h,7,10,1,8,8,
97,1,f+2,Sm,17?,15,-9,0,0,
98,1,"f, F+1",h,7,10(11~),1,8,8,
99,1,"f, F+3",m,18,17(18~),-8,2,2,
100,1,SS+1,h,7,10(11~),1,8,8,
101,1,SS+2,Sm,15,15(16~),-9,0,0,
102,1,SS+3,h,14,15(16~),-8,3,3,
103,1,SS+4,h,12,14(15~),-13,2,2,
104,1,BT 1 or 2,h,20,8,-8,3,3,
105,1,BT 3 or 4,h,33,10,-8,KND,KND,
106,1,BT d+1 or 2,Sm,10,10s,-2,9,9,
107,1,BT d+3 or 4,l,12,10s,-11,3,3,
108,2,in rage b+1+2 in rage WS+b+1+2 in rage DES b+1+2,"h x 6, (DES)",55,13(~43?) pc8~,1,KND,KND,Rage art
109,2,in rage f+2+3,m (TJ)m,"12,25","16~17 ,36~37",0~+1,SPD,SPD,"Rage art, Tail spin"
110,2,"in rage f+2+3, 3+4","m (TJ)m, (SBT)","12,25","16~17 ,36~37",+5~+6,SPD,SPD,"Rage art, Tail spin"
111,2,"in rage f+2+3, f+3+4","m (TJ)m, (DBT)","12,25","16~17 ,36~37",+5~+6,SPD,SPD,"Rage art, Tail spin"
112,2,1,h,7,10,1,8,8,
113,2,"1, 1","h, h","7,18",10,-3,5,KND,
114,2,"1, 1, 1+2","h, h, (DES)","7,18",10,-3,5,KND,
115,2,"1, 2","h, h","7,10",10,-2,4,9,
116,2,"1, 2, 2","h, h, l","7,10,17",10,-11~-10,+2~+3,KND,
117,2,"1, 2, 2*","h, h, l","7,10,22",10,-10~-9,KND,KND,
118,2,"1, 2, 4","h, h, h","7,10,21",10,-5~-4,KND,KND,Tail spin
119,2,2,h,10,12,-6,5,5,
120,2,"2, 3","h, m","10,8",12,-10~-9,+1~+2,+1~+2,
121,2,"2, 3, 3","h, m, m (TJ)","10,8,25",12a,-11~-9,KND,KND,Tail spin
122,2,"2, 3, 4","h, m, l (TJ)","10,7,20",js24~,-19~-16,KND,KND,
123,2,"2, 4","h, h","10,21",12,-5~-4,KND,KND,Tail spin
124,2,3,m,12,14~15,-12~-11,-1~0,-1~0,
125,2,"3, 2","m, m x 5, (DES)","12,4*5",14~15,-9,1,1,
126,2,4,h,24,13~14,-5~-4,KND,KND,"Tail spin, Homing"
127,2,1+2,m (TJ),21,33~34 js7~,-5~-4,KND,KND,
128,2,f+2,m,12,17~18,-4~-3,+7~+8,+7~+8,
129,2,"f+2, 1","m, m, (DES)","12,20",17~18,-14,CS,CS,
130,2,"f+2, 1+2","m, (DES)",12,17~18,-4~-3,+7~+8,+7~+8,
131,2,"f+2, 3","m, h (TJ)","12,8",js17~,-8,4,4,
132,2,"f+2, 3, f","m, h (TJ), (Special)","12,8",17~a,-12,0,0,
133,2,"f+2, 3, 3","m, h (TJ), m","12,8,22",js1~12,-10~-9,ED,ED,wb!
134,2,f+3,h,13,14~15,-14~-13,-3~-2,-3~-2,
135,2,"f+3, 2","h, h, (DES)","13,20",14~15,-4~-2,KND,KND,Tail spin
136,2,"f+3, 1+2","h, m, (DES)","13,25",14~15,-13~-12,CS,CS,
137,2,f+4,m,14,16,-12,-2,-2,Homing
138,2,"f+4, 1","m, h","14,14",16,-9~-8,KND,KND,
139,2,"f+4, 1, 4","m, h, m","14,14,24",16,-14~+12 (-12),KND,KND,
140,2,f+1+2,m,25,14~15,-12~-11,+7~+8,+7~+8,
141,2,"f+1+2, 3+4","m, (Special) (TJ)(SBT)",25,14~15a,-16~-15,+3~+4,+3~+4,
142,2,"f+1+2, f+3+4","m, (Special) (TJ)(DBT)",25,14~15a,-16~-15,+3~+4,+3~+4,
143,2,d/f+1,m,10,13,-6,5,8,
144,2,"d/f+1, 1","m, h","10,20",13,+1~+2,+8~+9,+8~+9,
145,2,"d/f+1, 1, 2","m, h, h x 7, (DES)","10,20,4*7",13,6,8,8,
146,2,"d/f+1, 4","m, m","10,17",13,-9~-8,+5~+6s,KND,
147,2,d/f+2,m,16,16~17,-9~-8,Launch (JG?)(+7),Launch (JG?),
148,2,d/f+3,m,14,16,-9,1,1,
149,2,"d/f+3, 3","m, l","14,17",16,-12~-11,+1~+2,KND,
150,2,d/f+4,m,13,12,-7,4,4,
151,2,d/f+1+2,"m, (DES)",25,18,-14,CS,CS,Power Crush
152,2,d+2,m,17,24~26,-14~-12,+2~+4s,+2~+4s,
153,2,"d+2, 4","m, m","17,24",24~26a,-13~-10,KND,KND,
154,2,"d+2, 4, 1+2","m, m, (DES)","17,24",24~26a,-13~-10,KND,KND,
155,2,d+3,"l (TJ), (Special) (TC)",17,23~32s js9~,-10~-1,+8~+17,KND,
156,2,d+3 (After stance ends),"l (TJ), (Special) (TC)",17,23~32s js9~,-19~-10,-1~+8,KND,
157,2,d+4,l,15,17~18,-16~-15,-5~-4,-5~-4,
158,2,"d+4, 1+2","l, h","15,20",17~18,2,KND,KND,Tail spin
159,2,d+3+4,l (TJ),20,27~28 js5~ cs20~,-37,KND,KND,Homing
160,2,"d+3+4, 1+2","l (TJ), (DES)",20,27~28 js5~ cs20~,,KND,KND,Homing
161,2,d/b+2,m,17,18~19,-18~-17,-5~-4,-5~-4,
162,2,"d/b+2, 2","m, m","17,13",18~19,-10~-9,+14~+15 (SH),+14~+15 (SH),
163,2,"d/b+2, 2, 1+2","m, m, (DES)","17,13",18~19,-10~-9,+14~+15 (SH),+14~+15 (SH),
164,2,d/b+3,l (TC),11,16s cs4~,-12,-1,4,
165,2,d/b+4,l (TC),23,24~25a cs6~,-17~-16,KND,KND,
166,2,b+1,m,15,15~16s,-5~-4,+8~+9,+8~+9,
167,2,"b+1, 1+2","m, Sm, m","15,1,30",15~16,-16~-14,Launch,Launch,
168,2,b+2,m,12,18,-12,-2,-2,
169,2,"b+2, 1","m, m","12,17",18,-13~-12,+3~+4s,KND,
170,2,"b+2, 4","m, h","12,20",18,-7~-6,KND,KND,Tail spin
171,2,b+3,m,26,20~22,-8~-6,ED,ED,Homing
172,2,b+4,m,17,15~16,-13~-12,-4~-3,CS,
173,2,"b+4, 3","m, m","17,20",js1~27,-11~-10,+6~+7s,KND,
174,2,"b+4, 3, 1+2","m (TJ), m, (DES)","17,15",1~27,-11~-10,+6~+7s,KND,
175,2,b+3+4,m (TJ),20,19~20 js6~,-17~-16,Launch,Launch,
176,2,"b+3+4, 3+4","m (TJ), m (TJ)","20,35",js1~,+5~+10s,KND,KND,
177,2,b+2+3,!,50,75,KND,KND,KND,
178,2,u/b+3+4,m (TJ),25,37~39 js5~,+2~+4s,KND,KND,
179,2,BT 3+4,m (TJ),25,37~39b js5~,+2~+4s,KND,KND,
180,2,"u/b+3+4, 1+2 or BT 3+4, 1+2","m (TJ), m?","25,20",js1~20 ar48~,-14~-13,Launch,Launch,
181,2,u/b or u or u/f+3,m (TJ),15,20~21 js9~,-52~-51,-24~-23 (SH),-24~-23 (SH),
182,2,"u/f+3, 2","m (TJ), m (TJ)","15,30",js1~,-14~-9,KND,KND,
183,2,"u/f+3, 3+4","m (TJ), (Special) (TJ)(SBT)",15,js1~,-29~-28,-3~-2 (SH),-3~-2 (SH),
184,2,"u/f+3, f+3+4","m (TJ), (Special) (TJ)(DBT)",15,js1~,-29~-28,-3~-2 (SH),-3~-2 (SH),
185,2,u or u/f+4,m (TJ),10,15~16 js9~,-15~-14,-4~-3,-4~-3,
186,2,"u/f+4, 4","m (TJ), m","10,10",js1~,-13~-11s,BU,BU,
187,2,u or u/f+3+4,m (TJ),28,38~41 js9~,0~+3,KND,KND,
188,2,"f, F+2",m,18,16~17 (17~),-18~-17,KND,KND,
189,2,"f, F+2, 3","m, m","18,25",16~17 (17~),-13~-11,KMED,KMED,
190,2,"f, F+3",m,12,18~19 (19~) js15~,-18~-17,-6~-5,-6~-5,
191,2,"f, F+3, 4","m, h (TJ)","12,15",js1~,-9~-8,KND,KND,
192,2,"f, F+3, 4, 1+2","m, h (TJ), (DES)","12,15",js1~,-9~-8,KND,KND,
193,2,"f, F+3, 4, 4","m, h (TJ), m","12,15,25",js1~12,-10~-8,KND,KND,Tail spin
194,2,"f, F+3, 4, 4, 1+2","m, h (TJ), m, (DES)","12,15,25",js1~12,-10~-8,KND,KND,Tail spin
195,2,"f, F+4",m,18,19~26 (20~),-11~-4,Throw(+5b),Throw(+5b),
196,2,"f, F+4 When hit f or b+1","m, m","18,22",19~26 (20~),,KND,,
197,2,"f, F+1+2",mm,"5,18","17~18, 30~31 (18~)",-16~-15,CS,CS,
198,2,"f, F+1+2 When hit 2","mm, m x 6, (DES)","5,18,2*6","17~18, 30~31 (18~)",,CS,CS,
199,2,"b, f+2",h,26,16~24 (16~) pc8~15,-8~0,KND,KND,Power crush
200,2,"b, B+1+4",h! (TJ),50,63~80 (64~),KND,KND,KND,
201,2,"f, f, f+2",h,30,13~15 (16~) js3~,+5~+7,KND,KND,
202,2,"f, f, f+3",m (TJ),15,18~19 (21~) js3~,-4~-3,+6~+7,+6~+7,
203,2,"f, f, f+3, 4","m (TJ), m (TJ)","15,20",js1~,-7~-5,KMED,KMED,Tail spin
204,2,WR+1+2,m (TJ),24,18~36 js5~,-3~+15,KND,KND,
205,2,WS+1,m,12,13~14,-12~-11,-1~0,-1~0,
206,2,"WS+1, 2","m, h","12,9",13~14,-5~-4,+6~+7,+6~+7,
207,2,"WS+1, 2, 3","m, h, m","12,9,23",13~14,-10~-9,Launch,Launch,
208,2,"WS+1, 2, 3, 1+2","m, h, m, (DES)","12,9,23",13~14,-10~-9,Launch,Launch,
209,2,WS+2,m,24,17~18,-13~-12,Launch,Launch,
210,2,"WS+2, 3+4","m, (Special) (TJ)(SBT)",24,17~18 js1~,-7~-6,Launch,Launch,
211,2,"WS+2, f+3+4","m, (Special) (TJ)(DBT)",24,17~18 js1~,-7~-6,Launch,Launch,
212,2,WS+3,"m, (Special)",18,19~20a,-135~-134,-126~-125,-126~-125,
213,2,"WS+3, 3, B (Cancel)","m, (Special)",18,19~20,-14~-13,-1~0,-1~0,
214,2,"WS+3, 3 (one spin)",m,20,13~14,-10~-9,+11kg,KND,Tail spin
215,2,"WS+3, 3",m,22,13~14,0~+1,KND,KND,Tail spin
216,2,"WS+3, d+3",l (TC),20,30~31s cs9~,-12~-11,KND,KND,
217,2,WS+4,m,15,11~12,-5~-4,+6~+7,+6~+7,
218,2,WS+1+2,m,20,20~21s,-8~-7,KND,KND,Homing
219,2,"WS+1+2, * (two spins)",m,24,28~29s,-4~-3,KND,KND,Homing
220,2,"WS+1+2, * (three spins)",m,28,39~40s,0~+1,AZUD,AZUD,Homing
221,2,FC+d/f+1+2,ll,"10,16","21~23, 31~33 cs1~",-11~-9,+5~+7s,+5~+7s,
222,2,"FC+d/f+1+2 , 1+2","ll, (DES)","10,16","21~23, 31~33 cs1~",-11~-9,+5~+7s,+5~+7s,
223,2,SS+4,l,15,24~25 (33~) cs6~,-12~-11,2,+7~+8,
224,2,"SS+4 , 1+2","l, h x 3 (TJ), m (TJ)","15,5*4",js15~,-10~-9,+8~+9,+8~+9,
225,2,BT 4,m (TJ),20,16~17b,-3~-2,KND,KND,
226,2,Opponent Down d/b+1+2,l(On grounded opponent),20,24~26,-14,KND,KND,
227,2,Grounded face up 1+2,(Special) (TJ),,a,,,,
228,2,"Grounded face up 1+2, 3+4","(Special) (TJ), m (TJ)",35,22~23 (42~43) js1~,-10~-9,KND,KND,
229,2,1+2+3,(Special) (TJ),,a,,,,
230,2,1+2+4,(Special),,(g),,,,
231,2,1+2+3+4,(Special) (TJ),,a,,,,
232,2,"1+2+3+4, 1+2","(Special) (TJ), (DES)",,a,,,,
233,2,d/b+1,(Special) (TC),,s(cs4) 15~,,,,
234,2,d/b+1~1,h,31,11~13 (26~) cs4~15,+4~+6,KMED,KMED,Tail spin
235,2,d/b+1~2,h! (Sky),"20(,3)",34~75(49~),KND,KND,KND,
236,2,d/b+1~3,m (TJ),30,24~27 (39~) js15~,-9,KND,KND,
237,2,d/b+1~4,m,30,18~23 (33~) js17~,-9~-4,Launch,Launch,
238,2,f+3+4 (to SBT),(Special) (TJ)(SBT),,18~23 (33~) 17~,,,,
239,2,"f+3+4, B",(Special),,s(47~),,,,
240,2,"f+3+4, D",(Special),,s(36~),,,,
241,2,SBT 1,m,12,13~14 (38~) js1~,-15~-14,0~+1,0~+1,
242,2,"SBT 1, 2","m, m","12,13",js1~,-9~-8,+2~+3,+7~+8s,
243,2,"SBT 1, 2, 1","m, m, m","12,13,7",js1~,-20~-19,-12~-11,-12~-11,
244,2,"SBT 1, 2, 1 , 3+4","m, m, m, mm","12,13,7,5,28",js1~,-18,KND,KND,
245,2,"SBT 1, 2, 1 , 3+4, 1+2","m, m, m, mm, (DES)","12,13,7,5,28",js1~,-18~-17,KND,KND,
246,2,SBT 2,m,25,16~27 (41~) js1~,-8~+3,KND,KND,
247,2,"SBT 2, 1+2","m, (DES)",25,16~27 (41~) js1~,-8~+3,KND,KND,
248,2,SBT 3,l,17,16~20s (41~) js1~cs9~,-14~-10,+4~+8s,KND,
249,2,SBT 4,m,"22(,5)",18~19 (43~) js1~,-27~-26,Launch,Launch,
250,2,d+1+2 or From special move (to DES),(DES),,18~19 (43~) 1~,,,,
251,2,DES b or F,(DES),,18~19 (43~) 1~,,,,
252,2,DES d+1+2 or D/B (Cancel),(DES),,18~19 (43~) 1~,,,,
253,2,DES 1,mmhhhm,"3*5,20","14,,,",-9,KZUD,KZUD,
254,2,DES 2,mmm,5*3,"20,,",-8,Launch (JG?),Launch (JG?),
255,2,DES 2 When hit 1,"m x 3, h!","5*3,14","20,,",,Launch,,
256,2,DES 3 or 4,,,"20,,",,,,
257,2,DES 1+2,hhh,"7,7,20","16,,",0,KND,KND,Homing
258,2,DES f+1,h x 7,3*7,"12,,,",0,11,11,
259,2,DES f+2,(Sky)!,"3,2,1,1,1","10,,,",,KND,KND,
260,2,DES f+1+2,m x 8,"3*7,13","23,,,",7,CS,CS,
261,2,"DES f+1+2, 1+2","m x 5, m","3*5,20(,3)","23,,,(b)",-53,Launch,Launch,
262,2,DES d+1,l x 5 (TC),"4*4,8","20~21, cs4~",-12,+3s,+3s,
263,2,DES d+2,llll,5*4,"30,,,",-14~-13,+2~+3,2~+3,
264,2,"DES d+2, *",l x 5 or 6,5*5or6,"30,,,",-14~-13,+2~+3,2~+3,
265,2,DES b+2,m,17,18~20,-12~-10,0~+2,CS,
266,2,"DES b+2, 1","m, m, Sm x 4","17,8,5*4",18~20,-8s,KND,KND,
267,2,"DES b+3+4 or b, b or u/b, b",(Special) (TJ),,a,,,,
268,2,DES u or d+3+4,(Special) (TJ),,,,,,
269,2,"DES u or d+3+4, 1","(Special) (TJ), m",25,20~21 (44~),-10,CS,CS,
270,2,DES d/f+1+2,"m, (DES)",25,18,-14,CS,CS,Power Crush
271,2,DES u/b or u or u/f+1+2,mmm (TJ),9*3,"29,,, js5~28",-9s,CS,CS,
272,2,"DES u/f+1+2, 1+2","m x 3 (TJ), (Special)",9*3,"29,,, js5~28",-9s,CS,CS,
273,2,DES BT 1 or 2,m x 6,4*6,"19,,,",-9,CS,CS,
274,2,"DES f+3+4 or f, f (to DBT)",(DBT),,"19,,,",,,,
275,2,DBT b (Cancel),(Special),,"19,,,",,,,
276,2,"DBT f+3+4, u or D",(Special) (TJ),,"19,,,",,,,
277,2,DBT 1,h x 6,5*6,"24,,, js1~20",9,11,11,
278,2,DBT 2,mmhhh,"8,8,8,20,25","16~17,,, js1~",-14,KND,KND,
279,2,"DBT 2, 1+2","mmhhh, (Special)","8,8,8,20,25","16~17,,, js1~",-14,KND,KND,
280,2,"DBT 2, 1","mmhh, h (TJ)","8,8,8,20,45",js1~,-12~10s,KND,KND,
281,2,"DBT 2, 1, 1+2","mmhh, h (TJ), (Special)","8,8,8,20,45",js1~,-12~10s,KND,KND,
282,2,DBT 1+2,mmmm,"5,5,5,20","12,,, js1~",0,KND,KND,
283,3,in rage b+1+2,h,55,13,-9,Throw(KND),Throw(KND),Rage art
284,3,in rage qcf+2+3,"m, m)","17,2",15,+5s,JG,JG,Rage drive
285,3,1,h,7,10,1,8,8,
286,3,"1, 2","h, h","7,1",10,-1,5,5,
287,3,"1, 2, 1","h, h, h","7,10,6",10,-3,4,4,
288,3,"1, 2, 1, 4","h, h, h, h","7,10,6,18",10,7,JG,JG,
289,3,"1, 2, 1, d+4","h, h, h, l","7,10,6,12",10 cs,-13,-2,-2,
290,3,"1, 2, 3","h, h, l",10 cs,"7,10,10",-14,-3,-3,
291,3,"1, 2, 4","h, h, h","7,10,22",10,-6,KND,KND,Tail spin
292,3,"1, 4","h, l","7,12",10 cs,-13,-2,-2,
293,3,2,h,10,10,1,7,7,
294,3,"2, 1","h, h","10,6",10,-3,4,4,
295,3,"2, 1, 4","h, h, h","10,6,18",10,7,JG,JG,
296,3,"2, 1, d+4","h, h, l (TC)","10,6,12",10,-13,-2,-2,
297,3,"2, 3","h, m","10,14",10,-11,0,0,
298,3,"2, 3, B","h, m (CJM)","10,14",10,-3,8,8,
299,3,"2, 4","h, h","10,22",10,-6,KND,KND,Tail spin
300,3,"2, d+4","h, l (TC)","10,1",10,-14,-3,-3,
301,3,3,h,14,14,-16,-5,-5,
302,3,"3, 3","h, l (TC)","14,1",14,-17,-6,-6,
303,3,"3, 3, 2","h, l, m","14,10,10",14,-13,JG,JG,
304,3,"3, 3, 3","h, l, h","14,10,18",14,-6,5,JG,
305,3,"3, 3, 3, 1","h, l, h, m","14,10,18,20",14,+2s,+5s,KND,
306,3,"3, 4","h, h","14,2",14,-6,KND,KND,
307,3,4,h,15,11,-9,8,JG,
308,3,"4, 3","h, l (TC)","15,13",11,-14,-3,-3,
309,3,f+2,h,14,14,-2,4,4,
310,3,"f+2, 3","h, h","14,2",14,-7,12k,+12k,Tail spin
311,3,f+3,m,14,17,-13,-4,-4,
312,3,"f+3, B",m (CJM),14,17,-5,4,4,
313,3,"f+3, 2","m, m","14,2",17,-11,KND,KND,Tail spin
314,3,f+4,m,28,19 js14,-14,KND,KND,
315,3,f+1+2 or WS+1+2,m,21,18,-18,KND,KND,
316,3,f+2+3,m,25,14,-16,KND,KND,
317,3,d/f+1,m,13,13,-1,5,5,
318,3,"d/f+1, 2","m, h","13(12),10",13,-3,2,9,
319,3,"d/f+1, 2, 3","m, h, m (TJ)","13,10,20",13,-12,KND,KND,
320,3,"d/f+1, 2, 3, b","m, h","13, 10",13,-17,-12,-5,
321,3,"d/f+1, 2, 4","m, h, h","13,10,22",13,-5,KND,KND,Tail spin
322,3,d/f+2,m,16,16,-12,JG,JG,
323,3,d/f+3,m,13,14,-11,1,1,
324,3,"d/f+3, 1, u or d",m (SS),13,14,-12,0,0,
325,3,"d/f+3, 1, b",m (CJM),13,14,-15,-3,-3,
326,3,"d/f+3, 1","m, h","13,10",14,-3,7,7,
327,3,"d/f+3, 1, 2","m, h, h","13,10,6",14,-2,9,9,
328,3,"d/f+3, 1, 4","m, h, h","13,10,20",,-3,-3,2,
329,3,"d/f+3, 1, 4, 2","m, h, h, h","13,10,20,12",,-4,0,0,
330,3,"d/f+3, 1, 4, 2, u or b","m, h, h, h (SS)","13,10,20,12",,-5,6,6,
